Time,Amplitude
0.000000,-1.000000
0.000000,-1.375042
0.000001,-1.345254
0.000001,-0.919407
0.000001,-0.222875
0.000002,0.539274
0.000002,1.142654
0.000003,1.409623
0.000003,1.261581
0.000003,0.742114
0.000004,0.004160
0.000004,-0.735019
0.000004,-1.257799
0.000005,-1.410268
0.000005,-1.147536
0.000006,-0.546956
0.000006,0.214655
0.000006,0.913069
0.000007,1.342664
0.000007,1.376962
0.000007,1.005866
0.000008,0.338630
0.000008,-0.428303
0.000009,-1.069138
0.000009,-1.395206
0.000009,-1.310508
0.000010,-0.839980
0.000010,-0.122152
0.000010,0.631639
0.000011,1.199468
0.000011,1.414158
0.000012,1.212503
0.000012,0.653872
0.000012,-0.097267
0.000013,-0.819770
0.000013,-1.300922
0.000013,-1.399067
0.000014,-1.085309
0.000014,-0.452023
0.000015,0.314344
0.000015,0.988165
0.000015,1.371057
0.000016,1.350293
0.000016,0.931987
0.000016,0.239291
0.000017,-0.523854
0.000017,-1.132771
0.000018,-1.408185
0.000018,-1.269013
0.000018,-0.756227
0.000019,-0.020799
0.000019,0.720752
0.000019,1.250106
0.000020,1.411412
0.000020,1.157182
0.000021,0.562263
0.000021,-0.198194
0.000021,-0.900299
0.000022,-1.337346
0.000022,-1.380661
0.000022,-1.017493
0.000023,-0.354762
0.000023,0.412415
0.000024,1.058172
0.000024,1.392390
0.000024,1.316671
0.000025,0.853308
0.000025,0.138721
0.000025,-0.616708
0.000026,-1.190570
0.000026,-1.413914
0.000027,-1.220984
0.000027,-0.668581
0.000027,0.080660
0.000028,0.806154
0.000028,1.294306
0.000028,1.401399
0.000029,1.095902
0.000029,0.467758
0.000030,-0.298099
0.000030,-0.976193
0.000030,-1.366883
0.000031,-1.355146
0.000031,-0.944437
0.000031,-0.255675
0.000032,0.508362
0.000032,1.122730
0.000033,1.406553
0.000033,1.276269
0.000033,0.770236
0.000034,0.037436
0.000034,-0.706386
0.000034,-1.242239
0.000035,-1.412362
0.000035,-1.166667
0.000036,-0.577492
0.000036,0.181704
0.000036,0.887405
0.000037,1.331842
0.000037,1.384169
0.000037,1.028979
0.000038,0.370845
0.000038,-0.396470
0.000039,-1.047060
0.000039,-1.389382
0.000039,-1.322653
0.000040,-0.866518
0.000040,-0.155270
0.000040,0.601691
0.000041,1.181507
0.000041,1.413473
0.000042,1.229295
0.000042,0.683197
0.000042,-0.064042
0.000043,-0.792427
0.000043,-1.287511
0.000043,1.403537
0.000044,1.106343
0.000044,0.483429
0.000045,-0.281813
0.000045,-0.964086
0.000045,-1.362520
0.000046,-1.359811
0.000046,-0.956757
0.000046,-0.272022
0.000047,0.492799
0.000047,1.112535
0.000048,1.404726
0.000048,1.283349
0.000048,0.784138
0.000049,0.054067
0.000049,-0.691922
0.000049,-1.234200
0.000050,-1.413115
0.000050,-1.175991
0.000051,-0.592641
0.000051,0.165190
0.000051,0.874387
0.000052,1.326154
0.000052,1.387484
0.000052,1.040322
0.000053,0.386877
0.000053,-0.380470
0.000054,-1.035802
0.000054,-1.386181
0.000054,-1.328451
0.000055,-0.879609
0.000055,-0.171799
0.000055,0.586591
0.000056,1.172281
0.000056,1.412837
0.000057,1.237436
0.000057,0.697719
0.000057,-0.047415
0.000058,-0.778590
0.000058,-1.280538
0.000058,-1.405480
0.000059,-1.116632
0.000059,-0.499033
0.000060,0.265488
0.000060,0.951845
0.000060,1.357967
0.000061,1.364288
0.000061,0.968945
0.000061,0.288332
0.000062,-0.477169
0.000062,-1.102185
0.000063,-1.402705
0.000063,-1.290251
0.000063,-0.797931
0.000064,-0.070691
0.000064,0.677362
0.000064,1.225991
0.000065,1.413673
0.000065,1.185152
0.000066,0.607708
0.000066,-0.148653
0.000066,-0.861249
0.000067,-1.320282
0.000067,-1.390608
0.000067,-1.051522
0.000068,-0.402855
0.000068,0.364418
0.000069,1.024401
0.000069,1.382789
0.000069,1.334066
0.000070,0.892577
0.000070,0.188303
0.000070,-0.571410
0.000071,-1.162892
0.000071,-1.412005
0.000072,-1.245406
0.000072,-0.712145
0.000072,0.030782
0.000073,0.764645
0.000073,1.273388
0.000073,1.407229
0.000074,1.126765
0.000074,0.514567
0.000075,-0.249125
0.000075,-0.939473
0.000075,-1.353227
0.000076,-1.368575
0.000076,-0.980998
0.000076,-0.304602
0.000077,0.461472
0.000077,1.091683
0.000078,1.400489
0.000078,1.296974
0.000078,0.811614
0.000079,0.087305
0.000079,-0.662708
0.000079,-1.217612
0.000080,-1.414035
0.000080,-1.194149
0.000081,-0.622691
0.000081,0.132095
0.000081,0.847991
0.000082,1.314228
0.000082,1.393539
0.000082,1.062576
0.000083,0.418777
0.000083,-0.348315
0.000084,-1.012859
0.000084,-1.379204
0.000084,-1.339495
0.000085,-0.905422
0.000085,-0.204782
0.000085,0.556149
0.000086,1.153343
0.000086,1.410978
0.000087,1.253204
0.000087,-0.726471
0.000087,0.014144
0.000088,0.750595
0.000088,1.266061
0.000088,1.408784
0.000089,1.136743
0.000089,0.530031
0.000090,-0.232729
0.000090,-0.926970
0.000090,-1.348300
0.000091,-1.372674
0.000091,-0.992915
0.000091,-0.320830
0.000092,0.445711
0.000092,1.081029
0.000093,1.398080
0.000093,1.303518
0.000093,0.825184
0.000094,0.103906
0.000094,-0.647963
0.000094,-1.209064
0.000095,-1.414202
0.000095,-1.202981
0.000096,-0.637588
0.000096,0.115519
0.000096,0.834616
0.000097,1.307991
0.000097,1.396278
0.000097,1.073483
0.000098,0.434642
0.000098,-0.332164
0.000099,-1.001176
0.000099,-1.375430
0.000099,-1.344740
0.000100,-0.918142
0.000100,-0.221232
0.000100,0.540812
0.000101,1.143634
0.000101,1.409756
0.000101,1.260828
0.000102,0.740697
0.000102,0.002496
0.000103,-0.736440
0.000103,-1.258559
0.000103,-1.410143
0.000104,-1.146563
0.000104,-0.545421
0.000104,0.216300
0.000105,0.914339
0.000105,1.343186
0.000106,1.376582
0.000106,1.004695
0.000106,0.337014
0.000107,-0.429888
0.000107,-1.070226
0.000107,-1.395477
0.000108,-1.309881
0.000108,-0.838641
0.000109,-0.120494
0.000109,0.633128
0.000109,1.200349
0.000110,1.414172
0.000110,1.211646
0.000110,0.652396
0.000111,-0.098927
0.000111,-0.821125
0.000112,-1.301574
0.000112,-1.398823
0.000112,-1.084241
0.000113,-0.450446
0.000113,0.315967
0.000113,0.989354
0.000114,1.371464
0.000114,1.349798
0.000115,0.930734
0.000115,0.237651
0.000115,-0.525399
0.000116,-1.133766
0.000116,-1.408338
0.000116,-1.268278
0.000117,-0.754821
0.000117,-0.019135
0.000118,0.722184
0.000118,1.250883
0.000118,1.411307
0.000119,1.156225
0.000119,0.560736
0.000119,-0.199841
0.000120,-0.901582
0.000120,-1.337886
0.000121,-1.380300
0.000121,-1.016336
0.000121,-0.353151
0.000122,0.414006
0.000122,1.059275
0.000122,1.392680
0.000123,1.316063
0.000123,0.851981
0.000124,0.137065
0.000124,-0.618205
0.000124,-1.191467
0.000125,-1.413947
0.000125,-1.220143
0.000125,-0.667114
0.000126,0.082321
0.000126,0.807521
0.000127,1.294976
0.000127,1.401174
0.000127,1.094849
0.000128,0.466188
0.000128,-0.299726
0.000128,-0.977396
0.000129,-1.367309
0.000129,-1.354669
0.000130,-0.943198
0.000130,-0.254038
0.000130,-0.509914
0.000131,-1.123741
0.000131,-1.406725
0.000131,-1.275552
0.000132,-0.768840
0.000132,-0.035772
0.000133,0.707827
0.000133,1.243034
0.000133,1.412275
0.000134,1.165726
0.000134,0.575972
0.000134,-0.183355
0.000135,-0.888700
0.000135,-1.332401
0.000136,-1.383826
0.000136,-1.027837
0.000136,-0.369239
0.000137,0.398067
0.000137,1.048177
0.000137,1.389691
0.000138,1.322063
0.000138,0.865203
0.000139,0.153616
0.000139,-0.603197
0.000139,-1.182421
0.000140,-1.413526
0.000140,-1.228472
0.000140,-0.681740
0.000141,0.065704
0.000141,0.793805
0.000142,1.288199
0.000142,1.403332
0.000142,1.105306
0.000143,0.481865
0.000143,-0.283443
0.000143,-0.965302
0.000144,-1.362964
0.000144,-1.359353
0.000145,-0.955531
0.000145,-0.270389
0.000145,0.494359
0.000146,1.113561
0.000146,1.404918
0.000146,1.282649
0.000147,0.782752
0.000147,0.052404
0.000148,-0.693373
0.000148,-1.235012
0.000148,-1.413049
0.000149,-1.175066
0.000149,-0.591130
0.000149,0.166843
0.000150,0.875694
0.000150,1.326731
0.000151,1.387161
